"","x"
"ANO1478_22",2
"ANO1489_11",2
"ANO1489_13",2
"ANO1489_15",2
"ANO1489_22",2
"ANO1489_24",2
"ANO1489_26",2
"ANO1489_31",2
"ANO1489_33",2
"ANO1489_35",2
"ANO1489_42",2
"ANO1489_44",2
"ANO1489_46",2
"ANO1489_51",2
"ANO1489_53",2
"ANO1489_55",2
"ANO1489_62",2
"ANO1489_64",2
"ANO1489_66",2
"ANO1496_31",2
"ANO1496_33",2
"ANO1496_51",2
"ANO1496_53",2
"ANO1496_62",2
"ANO1502_11",2
"ANO1503_33",2
"ANO1541_26",2
"ANO1541_35",2
"ANO1541_44",2
"ANO1541_46",2
"ANO1541_53",2
"ANO1541_55",2
"ANO1541_64",2
"ANO1541_66",2
"ANO1550_64",2
"ANO0003_11",1
"ANO0003_13",1
"ANO0003_15",1
"ANO0003_22",1
"(Other)",15757
