"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"100";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-01";29592569956,5577;4352334975,36946;18012211861,9085;7392912138,72832;23527511065,1106;1883269473,68421;3886209369,56522;1373814301,88679;639144383,561644;15932883956,6474;2447446454,18327;6154088698,86364;1216807489,45148;1457863563,82979
"101";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-02";3329862283,82292;947433169,129721;2182129200,93095;110101734,104046;2812344651,10565;17831578,9473684;455811543,478261;535087622,641509;18128082,1917808;2080910763,00578;357796892,430279;111800125;NA;65010638,2978723
"102";"NiN-3.0-T-C-PE-NA-MB-VA01-M020-03";992755477,865122;240888232,074439;688554411,688648;39225433,5260116;847411280,09828;NA;132696826,086957;101213018,867925;NA;679610598,265896;116794741,035857;39830511,3636364;NA;NA
"103";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-01";4223996458,41953;188442255,062945;2773271383,50142;1341239306,35838;3418129533,16953;122273684,210526;622812347,826087;24388679,245283;28486986,3013699;2170240416,18497;131981673,306773;1260292318,18182;91414978,9029536;623560372,340425
"104";"NiN-3.0-T-C-PE-NA-MB-VB01-M020-02";236012652,047993;40412917,3508484;163385792,604086;29757225,433526;195462004,914005;NA;36563521,7391304;NA;NA;161263531,791908;32181832,6693227;30216250;NA;NA
"105";"NiN-3.0-T-C-PE-NA-MB-VC01-M020-01";1984057079,02358;NA;949352433,410913;1136726011,56069;1883409017,19902;50947368,4210526;65321347,826087;NA;NA;862266231,213873;NA;1099322113,63636;49413502,1097046;86139095,7446809
"106";"NiN-3.0-T-C-PE-NA-MB-VC02-M020-01";13327203,1443939;NA;13099444,0134471;NA;13505540,5405405;NA;NA;NA;NA;12929291,9075145;NA;NA;NA;NA
"107";"NiN-3.0-T-C-PE-NA-MB-VC03-M020-01";95713549,8551924;10216748,7684729;83360098,2673907;NA;78577690,4176904;19105263,1578947;NA;10974905,6603774;19422945,2054795;64646459,5375723;NA;NA;NA;NA
"108";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-01";245220537,856847;113973508,483853;121467571,761055;NA;212405319,410319;12736842,1052632;19925065,2173913;98774150,9433962;12948630,1369863;108135895,953757;17537290,8366534;NA;NA;NA
"109";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-02";36346917,6665288;21568691,8445539;13099444,0134471;NA;36833292,3832924;NA;NA;23169245,2830189;NA;12929291,9075145;NA;NA;NA;NA
"110";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-03";262061276,375672;191507279,693487;56684866,8218257;NA;265568038,083538;NA;NA;205718509,433962;NA;55948572,2543353;NA;NA;NA;NA
"111";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";52703030,6164667;49380952,3809524;NA;NA;53408273,955774;NA;NA;53045377,3584906;NA;NA;NA;NA;NA;NA
"112";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";2930046189,4911;289474548,440066;2246435562,45151;374670520,231214;2288329678,13268;17831578,9473684;555231456,521739;NA;NA;1881564589,59538;230515936,25498;361221534,090909;17294725,7383966;386813297,87234
"113";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";21808150,5999173;NA;NA;24346820,8092486;22099975,4299754;NA;NA;NA;NA;NA;NA;24722386,3636364;NA;NA
"114";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";20596586,6776996;NA;NA;22994219,6531792;20872199,017199;NA;NA;NA;NA;NA;NA;23348920,4545455;NA;NA
"115";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";366134617,294166;NA;270086718,386346;101986127,16763;278459690,41769;96035789,4736842;NA;NA;NA;266578491,32948;NA;NA;93144451,4767932;NA
