"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"24";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-03";1763491866,98386;946922331,691297;739999500,905094;NA;1613850705,77396;NA;144918902,173913;863420216,981132;NA;712756601,156069;113992390,438247;NA;NA;20315824,4680851
"25";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-04";33710796884,5676;15084234920,6349;16029194209,9819;1455669364,16185;24667747019,656;1635665263,15789;6623132760,86957;8968936792,45283;1104518150,68493;14212112742,7746;5363156653,38645;885885511,363636;532677552,742616;698593484,042553
"26";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-05";5504861836,988;3567631910,23536;1627725004,52547;45988439,3063584;4963715870,39312;29294736,8421053;490680407,608696;3282716226,41509;29781849,3150685;1547812549,85549;407470816,733068;46697840,9090909;NA;36568484,0425532
"27";"NiN-3.0-T-C-PE-NA-MB-TA03-M020-06";2348253194,0422;1511454460,86481;722553423,196276;NA;2064567426,90418;11463157,8947368;254352701,086957;1321622528,30189;11653767,1232877;702589476,156069;223871653,386454;NA;NA;NA
"28";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-01";527514931,733554;475532895,457033;19649166,0201707;NA;372261808,353808;NA;135778021,73913;349611716,981132;NA;19393937,8612717;119506693,227092;NA;NA;NA
"29";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-02";527514931,733554;475532895,457033;19649166,0201707;NA;372261808,353808;NA;135778021,73913;349611716,981132;NA;19393937,8612717;119506693,227092;NA;NA;NA
"30";"NiN-3.0-T-C-PE-NA-MB-TA04-M020-03";674598791,890774;620270169,677066;12384928,8854409;NA;683625906,633907;NA;NA;666298716,981132;NA;12224057,8034682;NA;NA;NA;NA
"31";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-01";69874768398,8415;3333157525,99891;41429254323,7652;26981146820,8092;62089635415,2334;3674324210,52632;4331750260,86957;805070301,886793;743251369,863014;37934307378,6127;2057467729,08367;24223543545,4545;2854618016,87764;2629680319,14894
"32";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-02";17526241386,0157;503912753,147236;11575740502,9739;5818078612,71676;16590697110,5651;911957894,736842;243414456,521739;402291264,150943;484278767,123288;10841211264,4509;103054183,266932;5438100920,45455;422485443,037975;166589760,638298
"33";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-03";8118205217,21142;559537274,220033;5570240852,08172;2069750289,01734;8037024398,0344;NA;158784282,608696;530331830,188679;NA;5384344845,37572;52431075,6972112;2101677534,09091;NA;130833909,574468
"34";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";9622482983,03682;2250182156,54078;4748191197,31058;2668411560,69364;6159263152,33415;44578947,368421;2968834717,3913;17072075,4716981;NA;3602335803,46821;1779221434,26295;2661502238,63636;43236814,3459916;1249287765,95745
"35";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";215416065,370294;NA;151953550,555987;67900578,0346821;203565329,238329;NA;12324782,6086957;NA;NA;135875104,046243;NA;68947988,6363636;NA;16252659,5744681
"36";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";14538767,0666115;NA;NA;16231213,8728324;14733316,953317;NA;NA;NA;NA;NA;NA;16481590,9090909;NA;NA
"37";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";28592908,564336;NA;NA;31921387,283237;28975523,3415233;NA;NA;NA;NA;NA;NA;32413795,4545455;NA;NA
"38";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04";21323525,0310302;NA;20959110,4215154;NA;21608864,8648649;NA;NA;NA;NA;20686867,0520231;NA;NA;NA;NA
"40";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-09";4240473,72776169;NA;4168004,91336954;NA;4297217,44471744;NA;NA;NA;NA;4113865,60693642;NA;NA;NA;NA
"41";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-11";4240473,72776169;NA;4168004,91336954;NA;4297217,44471744;NA;NA;NA;NA;4113865,60693642;NA;NA;NA;NA
"42";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";56943504,3442284;NA;34534897,8536333;24346820,8092486;57705491,4004914;NA;NA;NA;NA;34086315,0289017;NA;24722386,3636364;NA;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";4387678744,31113;2779182703,88615;1357697829,06646;44906358,3815029;4167687033,16953;166852631,578947;98598260,8695652;2868352566,03774;157973287,671233;1196664735,54913;86782470,1195219;33237875;11118037,9746835;NA
"44";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";3548549571,7832;2434310673,23481;912793076,027929;24346820,8092486;3288476343,98034;123547368,421053;157654510,869565;2427771075,4717;125601712,328767;786923721,098266;138761553,784861;24722386,3636364;NA;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";945262172,114191;744460426,929392;148142803,20662;NA;888541789,92629;NA;58029184,7826087;730806773,584906;NA;146218537,572254;51075099,6015936;NA;NA;NA
"46";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";493106516,342573;380290093,048714;85741815,3607448;NA;477605024,570025;22926315,7894737;NA;408510377,358491;23307534,2465753;63471069,3641619;NA;NA;NA;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";90867294,1663219;85139573,0706076;NA;NA;92083230,958231;NA;NA;91457547,1698113;NA;NA;NA;NA;NA;NA
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01";41193173,3553993;38596606,4586754;NA;NA;41744398,034398;NA;NA;41460754,7169811;NA;NA;NA;NA;NA;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02";18173458,8332644;17027914,6141215;NA;NA;18416646,1916462;NA;NA;18291509,4339623;NA;NA;NA;NA;NA;NA
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-03";6057819,61108813;5675971,5380405;NA;NA;6138882,06388206;NA;NA;6097169,81132075;NA;NA;NA;NA;NA;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";823984623,500207;459753694,581281;285448793,638479;47882080,9248555;763308595,823096;74383157,8947368;NA;493870754,716981;68627739,7260274;219445345,375723;NA;41203977,2727273;6670822,78481013;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";531929870,666115;136359540,229885;340030604,266874;45163352,6011561;523577884,570025;16048421,0526316;NA;146478407,54717;NA;335613857,774566;NA;28554356,25;15565253,164557;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";134914912,122466;32784411,603722;90643389,1388673;8602543,35260116;133773606,830467;3056842,10526316;NA;35217252,8301887;NA;89465998,4393064;NA;5438925;2964810,12658228;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";2100972997,51758;1006236234,26382;838007159,296612;194774566,473988;1857748490,17199;281484210,526316;NA;1080906264,15094;229190753,424658;619078004,33526;NA;137346590,909091;54354852,3206751;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";56526726,3549855;16891691,2972085;30266860,8223429;8602543,35260116;54336472,9238329;3056842,10526316;NA;18145177,3584906;NA;29873716,6473988;NA;5438925;2964810,12658228;NA
"56";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-09";18842242,1183285;5630563,76573618;10088953,6074476;2867514,45086705;18112157,6412776;1018947,36842105;NA;6048392,45283019;NA;9957905,54913295;NA;1812975;988270,042194093;NA
"57";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-01";108241120,810923;21727619,047619;59781099,0431859;27052023,1213873;97166225,3071253;12991578,9473684;NA;23339966,0377358;13207602,739726;47015606,9364162;NA;27469318,1818182;NA;NA
"58";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-02";281252448,9036;44431505,1997811;229835699,508663;NA;244499394,840295;42031578,9473684;NA;47728645,2830189;42730479,4520548;188062427,745665;NA;NA;NA;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TD03-M020-03";146768853,537443;39890727,9693487;102413835,014223;NA;125405082,800983;24200000;NA;42850909,4339623;24602397,260274;78751141,6184971;NA;NA;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-01";12115639,2221763;11351943,076081;NA;NA;12277764,1277641;NA;NA;12194339,6226415;NA;NA;NA;NA;NA;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TD04-M020-03";12115639,2221763;11351943,076081;NA;NA;12277764,1277641;NA;NA;12194339,6226415;NA;NA;NA;NA;NA;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-01";2962692990,93918;1729711459,22277;1049694174,55392;54336693,6416185;2651783418,50123;163859473,684211;161115720,652174;1681957947,54717;166584126,712329;870211868,786127;130553378,486056;55174872,5;NA;16862134,3085106
"63";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-02";678783533,678113;395599323,481117;242387348,590639;11129202,3121387;616066281,744472;33561578,9473684;32999605,4347826;388884807,169811;34119640,4109589;205270139,884393;26739848,6055777;11300877,5;NA;3453690,15957447
"64";"NiN-3.0-T-C-PE-NA-MB-TD06-M020-03";215900690,939181;123963218,390805;82169239,7207137;NA;218789756,756757;NA;NA;133162188,679245;NA;81101921,9653179;NA;NA;NA;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02";16961894,9110468;NA;16672019,6534781;NA;17188869,7788698;NA;NA;NA;NA;16455462,4277457;NA;NA;NA;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-02";7269383,53330575;NA;NA;8115606,93641619;NA;7642105,26315789;NA;NA;NA;NA;NA;NA;7412025,3164557;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-03";7269383,53330575;NA;NA;8115606,93641619;NA;7642105,26315789;NA;NA;NA;NA;NA;NA;7412025,3164557;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01";61426290,8564336;27812260,5363985;31200493,9229377;NA;52057719,9017199;NA;8524641,30434783;29876132,0754717;NA;21039484,1040462;NA;NA;NA;11241422,8723404
"69";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";21808150,5999173;20433497,5369458;NA;NA;22099975,4299754;NA;NA;21949811,3207547;NA;NA;NA;NA;NA;NA
"70";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01";362015299,958626;317525199,781062;10872538,5311611;13471907,5144509;343421340,41769;NA;19606675;328942311,320755;NA;NA;9003681,2749004;13679720,4545455;NA;12365565,1595745
"71";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02";79599749,689698;70143656,2671045;2226905,48228601;2759306,3583815;75864304,5454545;NA;4015825;72861179,245283;NA;NA;1844127,49003984;2801870,45454545;NA;2532706,11702128
"72";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-03";16356112,9499379;15325123,1527094;NA;NA;16574981,5724816;NA;NA;16462358,490566;NA;NA;NA;NA;NA;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TE08-M020-01";61426290,8564336;27812260,5363985;31200493,9229377;NA;52057719,9017199;NA;8524641,30434783;29876132,0754717;NA;21039484,1040462;NA;NA;NA;11241422,8723404
"74";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01";29077534,133223;27244663,3825944;NA;NA;NA;NA;24649565,2173913;NA;NA;NA;21695617,5298805;NA;NA;NA
