"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1"
"58";"NiN-3.0-T-C-PE-NA-MB-TE01-M020-02/04";15569876,0251098;14754349,9079993;NA;NA;NA;15691486,6522357;NA
"59";"NiN-3.0-T-C-PE-NA-MB-TE02-M020-01/02";13345608,0215227;NA;NA;13305146,7095124;12324543,6776942;NA;NA
"60";"NiN-3.0-T-C-PE-NA-MB-TE03-M020-01/02";112770387,781867;17915996,3168562;102617788,385312;NA;NA;113651196,181193;NA
"61";"NiN-3.0-T-C-PE-NA-MB-TE04-M020-01";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA
"62";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-01/02";400368240,64568;12646585,6354279;423115999,503421;NA;NA;403495371,057491;NA
"63";"NiN-3.0-T-C-PE-NA-MB-TE05-M020-02/03";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA
"64";"NiN-3.0-T-C-PE-NA-MB-TE09-M020-01/02";44485360,0717422;NA;48634022,9314277;NA;NA;44832819,0063878;NA
"65";"NiN-3.0-T-C-PE-NA-MB-TF01-M020-02";32251886,0520131;30562581,9522842;NA;NA;NA;32503793,7796312;NA
"66";"NiN-3.0-T-C-PE-NA-MB-TF02-M020-01";156810894,252891;52694106,814283;37934537,8865136;66303981,1024034;NA;158035686,997517;NA
"67";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-04/05/10/11";32251886,0520131;30562581,9522842;NA;NA;NA;32503793,7796312;NA
"68";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-06/08";3023669924,07632;137426230,57165;3147107623,89269;NA;NA;3033836862,16226;13114020,4047128
"69";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-07/08";452638538,729977;21077642,7257132;470534171,861563;NA;NA;430395062,461323;25135205,7756996
"70";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-08";6645223087,51686;512186718,234831;6649729955,41411;22175244,515854;NA;6594011019,45952;100540823,102798
"71";"NiN-3.0-T-C-PE-NA-MB-TG01-M020-12";826982843,733688;NA;904106486,295241;NA;NA;833442105,32875;NA
"72";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-01";1380380723,02616;1018471696,50646;106994850,449141;207116783,778076;41287221,3202757;1346105390,6668;NA
"73";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-02";572304157,322964;488579758,382032;43770620,6382849;16631433,3868905;20335497,0681955;532165561,605824;21856700,6745214
"74";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-03";35588288,0573938;33724228,3611411;NA;NA;NA;35866255,2051103;NA
"75";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-04";3962978301,99116;2864662422,85168;497526054,588505;483420330,445616;553782829,251061;3232670414,4556;152996904,721649
"76";"NiN-3.0-T-C-PE-NA-MB-TH01-M020-05";464427159,148989;369491076,981753;32827965,4787137;44350489,0317079;20540906,1294904;423221811,420301;21856700,6745214
