"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"38";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";250;250;NA;NA;NA;250;NA;NA;250;NA;NA;NA;NA;NA;NA;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04";220;220;NA;NA;NA;220;NA;NA;220;NA;NA;NA;NA;NA;NA;NA
"40";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-09";43,75;43,75;NA;NA;NA;43,75;NA;NA;43,75;NA;NA;NA;NA;NA;NA;NA
"41";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-11";43,75;43,75;NA;NA;NA;43,75;NA;NA;43,75;NA;NA;NA;NA;NA;NA;NA
"42";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";587,5;512,5;75;NA;NA;587,5;NA;NA;512,5;75;NA;NA;NA;NA;NA;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";45268,75;6742,5;37995;531,25;968,75;43925;375;100;6642,5;37282,5;531,25;375;NA;NA;337,5;NA
"44";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";36611,25;2717,5;33662,5;231,25;456,25;34123,75;2031,25;NA;2717,5;31406,25;231,25;2031,25;NA;NA;225;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";9752,5;282,5;9470;NA;NA;8421,25;1331,25;NA;282,5;8138,75;NA;1331,25;NA;NA;NA;NA
"46";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-04";5087,5;712,5;4375;NA;NA;5087,5;NA;NA;712,5;4375;NA;NA;NA;NA;NA;NA
"47";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-05";937,5;NA;937,5;NA;NA;737,5;200;NA;NA;737,5;NA;200;NA;NA;NA;NA
"48";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-01";425;175;250;NA;NA;425;NA;NA;175;250;NA;NA;NA;NA;NA;NA
"49";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-02";187,5;NA;187,5;NA;NA;187,5;NA;NA;NA;187,5;NA;NA;NA;NA;NA;NA
"50";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-03";62,5;NA;62,5;NA;NA;62,5;NA;NA;NA;62,5;NA;NA;NA;NA;NA;NA
"51";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-04";8501,25;2308,75;5750;442,5;150;8351,25;NA;150;2158,75;5750;NA;NA;NA;442,5;NA;NA
"52";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-05";5488,05;1239,525;3988,65;259,875;157,5;5267,55;63;157,5;1019,025;3988,65;NA;NA;63;259,875;NA;NA
"53";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-06";1391,95;236,1;1106,35;49,5;30;1349,95;12;30;194,1;1106,35;NA;NA;12;49,5;NA;NA
"54";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-07";21676,25;6128,75;13247,5;2300;1037,5;20388,75;250;150;5978,75;12810;700;250;NA;1600;187,5;NA
"55";"NiN-3.0-T-C-PE-NA-MB-TD01-M020-08";583,2;236,1;297,6;49,5;30;541,2;12;30;194,1;297,6;NA;NA;12;49,5;NA;NA
