hovedtype_rute;n
;157
F;11
F1;1
F4;3
F5;1
F8;4
I1;20
L;10
L16;1
L4;8
O2;2
T;1
T1;226
T12;4
T13;76
T14;103
T16;15
T17;2
T18;8
T19;10
T2;113
T20;2
T21;1
T22;33
T24;1
T25;1
T26;5
T27;119
T29;2
T3;386
T30;9
T31;74
T32;86
T33;1
T34;12
T35;103
T36;23
T37;22
T38;43
T39;32
T4;572
T40;14
T41;22
T42;3
T43;27
T44;27
T45;54
T5;1
T6;3
T7;173
V;1
V1;501
V10;8
V11;3
V12;15
V13;1
V2;139
V3;100
V4;18
V6;30
V8;3
V9;10
ikk;29
NA;47
