"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"110";"NiN-3.0-T-C-PE-NA-MB-VC04-M020-04";48377829,0780197;NA;52889499,9379276;NA;NA;48755690,6694468;NA;NA;NA;175983587,894515;NA;NA;NA;NA;NA;NA
"111";"NiN-3.0-T-C-PE-NA-MB-VF01-M020-01";2689584869,93754;1998582083,25213;381777080,011707;230622542,964881;118110210,24457;1951124283,158;614828989,974286;NA;15066889457,0316;655387154,917505;2095619284,61139;1411740700,96333;3778752385,73881;1776262260,55302;249013724,031138;NA
"112";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-01";20018412,032284;10538821,3628566;NA;8870097,80634158;NA;20174768,5528745;NA;NA;102370495,019919;NA;NA;NA;NA;132804654,994618;NA;NA
"113";"NiN-3.0-T-C-PE-NA-MB-VF02-M020-02";18906278,0304905;NA;NA;18848957,8384759;NA;19053948,0777148;NA;NA;NA;NA;NA;NA;NA;282209891,863564;NA;NA
"114";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-01";336086895,342013;239020468,509588;NA;83600671,8247694;NA;338711947,59326;NA;NA;2321762827,05176;NA;NA;NA;NA;1251683873,32428;NA;NA
"115";"NiN-3.0-T-C-PE-NA-MB-VK01-M020-02";209748472,738265;198762170,903476;NA;NA;NA;211386741,615119;NA;NA;1930707536,07567;NA;NA;NA;NA;NA;NA;NA
"116";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-01";92307122,1488651;24239289,1345702;24317011,4657138;44350489,0317079;20540906,1294904;70611689,9350608;NA;NA;235452138,545813;80911994,4342599;414974115,764632;NA;NA;332011637,486546;NA;NA
"117";"NiN-3.0-T-C-PE-NA-MB-VK02-M020-02";16682010,0269033;15808232,0442849;NA;NA;NA;16812307,1273954;NA;NA;153555742,529878;NA;NA;NA;NA;NA;NA;NA
"118";"O3-C-1";22242680,0358711;NA;NA;22175244,515854;20540906,1294904;NA;NA;NA;NA;NA;414974115,764632;NA;NA;NA;NA;NA
"119";"T1";2164657621,09098;1303652202,58536;609141137,216132;231066047,855198;382060854,008522;1748928269,43919;15299690,4721649;20967645872,7485;9325952096,31459;1945933466,14395;829948231,529263;NA;124593813,943343;2795537987,63672;355733891,473054;NA
"120";"T12";22242680,0358711;NA;NA;22175244,515854;20540906,1294904;NA;NA;NA;NA;NA;414974115,764632;NA;NA;NA;NA;NA
"121";"T13";628355711,013359;405744622,469979;148333769,940854;64308209,0959765;16432724,9035923;615330440,862673;NA;1075263890,91018;3777471266,235;493563166,048985;NA;NA;NA;962833748,710984;NA;NA
"122";"T14";169044368,272621;NA;184809287,139425;NA;NA;170364712,224274;NA;NA;NA;614931157,700375;NA;NA;NA;NA;NA;NA
"123";"T18";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA;NA;NA;60683995,8256949;NA;NA;NA;NA;NA;NA
"124";"T19";153474492,247511;NA;167787379,113426;NA;NA;154673225,572038;NA;NA;NA;558292761,596393;NA;NA;NA;NA;NA;NA
"125";"T2";574973278,927269;257147241,253701;NA;302692087,641407;347141313,588388;200626865,053586;NA;13306390650,0135;470904277,091626;NA;2904818810,35242;NA;NA;2207877389,28553;NA;NA
"126";"T22";20018412,032284;NA;21885310,3191425;NA;NA;20174768,5528745;NA;NA;NA;72820794,9908339;NA;NA;NA;NA;NA;NA
"127";"T25-C-2";45597494,0735358;43209167,5877121;NA;NA;NA;45953639,4815475;NA;NA;419719029,581667;NA;NA;NA;NA;NA;NA;NA
"128";"T26";37812556,0609809;NA;41338919,4917135;NA;NA;38107896,1554297;NA;NA;NA;137550390,538242;NA;NA;NA;NA;NA;NA
"129";"T27";354770746,572144;114873152,855137;255328620,389995;NA;NA;357541731,575943;NA;NA;1115838395,71711;849575941,559729;NA;NA;NA;NA;NA;NA
"130";"T29";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA;NA;204740990,039837;NA;NA;NA;NA;NA;NA;NA
"131";"T3";1940673833,12976;993810854,517378;829210090,980842;133051467,095124;287572685,812866;1642001996,10895;NA;12096718772,7395;7810868770,0198;2759099010,20826;2074870578,82316;NA;NA;332011637,486546;NA;NA
"132";"T31";44485360,0717422;21077642,7257132;24317011,4657138;NA;NA;44832819,0063878;NA;NA;204740990,039837;80911994,4342599;NA;NA;NA;NA;NA;NA
"133";"T32";174605038,281588;86418335,1754242;NA;83157166,9344524;NA;153552405,096878;21856700,6745214;NA;634697069,123496;NA;NA;NA;177991162,776204;1245043640,57455;NA;NA
"134";"T34";101204194,163214;32670346,2248555;NA;66525733,5475619;61622718,3884712;34745434,7299506;NA;NA;317348534,561748;NA;1244922347,29389;NA;NA;NA;NA;NA
"135";"T35";276921366,446595;129627502,763136;48634022,9314277;95353551,418172;32865449,8071847;243218043,109654;NA;NA;1259157088,745;161823988,86852;663958585,22341;NA;NA;896431421,213674;NA;NA
"136";"T35-C-1";865462680,195745;293400786,741928;17021908,0259997;538636689,290093;77028397,985589;771348651,004903;16392525,505891;NA;2696438838,82466;56638396,1039819;1556152934,11737;NA;133493372,082153;6819519033,97366;NA;NA
"137";"T35-C-2";1067871068,52217;539798430,205516;9726804,58628554;487855379,348787;50325220,0172515;952921567,980774;66662937,0572901;NA;4618956735,29873;32364797,773704;1016686583,62335;NA;542873046,467422;6490827512,86198;NA;NA
"138";"T35-C-3";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA;NA;204740990,039837;NA;NA;NA;NA;NA;NA;NA
"139";"T36-C-1";739569111,192715;394151918,970837;9726804,58628554;313779709,899334;19513860,8230159;724050026,953164;NA;739243925,000748;3716048969,22305;32364797,773704;165989646,305853;NA;NA;4565160015,44001;NA;NA
"140";"T36-C-2";18906278,0304905;17915996,3168562;NA;NA;NA;19053948,0777148;NA;NA;174029841,533862;NA;NA;NA;NA;NA;NA;NA
"141";"T36-C-3";147913822,238543;55855753,22314;97268045,8628554;NA;NA;149069123,19624;NA;NA;542563623,605569;323647977,73704;NA;NA;NA;NA;NA;NA
"142";"T37";14457742,0233162;NA;NA;14413908,9353051;13351588,9841688;NA;NA;NA;NA;NA;269733175,24701;NA;NA;NA;NA;NA
"143";"T37-C-2";509357372,821449;190752666,667705;NA;307127136,544577;52379310,6302005;431515882,936483;24042370,7419735;NA;1627690870,81671;NA;1058183995,19981;NA;195790279,053824;3751731503,59797;NA;NA
"144";"T37-C-3";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA;NA;204740990,039837;NA;NA;NA;NA;NA;NA;NA
"145";"T38";133456080,215227;23185406,9982845;NA;108658698,127684;27730223,274812;104236304,189852;NA;NA;225215089,043821;NA;560215056,282253;NA;NA;1178641313,07724;NA;NA
"146";"T38-C-1";1711129375,15957;710316559,856535;23101160,8924282;937569338,130306;121807573,347878;1591565074,72677;NA;1344079863,63772;6695030374,30268;76866394,7125469;2045822390,71963;NA;NA;12400634660,1225;NA;NA
"147";"T39";63391638,1022327;60071281,7682827;NA;NA;NA;63886767,0841027;NA;NA;583511821,613537;NA;NA;NA;NA;NA;NA;NA
"148";"T39-C-1";31139752,0502196;16862114,1805706;NA;13305146,7095124;NA;31382973,3044715;NA;NA;163792792,03187;NA;NA;NA;NA;199206982,491928;NA;NA
"149";"T39-C-2";35588288,0573938;NA;NA;35480391,2253663;NA;35866255,2051103;NA;NA;NA;NA;NA;NA;NA;531218619,978474;NA;NA
"150";"T39-C-3";78961514,1273425;NA;86325390,7032842;NA;NA;79578253,7363384;NA;NA;NA;287237580,241623;NA;NA;NA;NA;NA;NA
"151";"T39-C-4";339200870,547035;48478578,2691404;NA;287169416,480309;32865449,8071847;289171682,591202;16392525,505891;NA;317348534,561748;NA;663958585,22341;NA;133493372,082153;3768332085,4723;NA;NA
"152";"T4";3762349328,0676;1901203373,85933;121585057,328569;1639859331,9474;466278569,139432;2971295079,64835;303808139,375847;20161197954,5659;12960104669,5217;404559972,171299;3195300691,38766;NA;2118094837,03683;21331747708,5106;NA;3028031025,10345
"153";"T40";44485360,0717422;42155285,4514264;NA;NA;NA;NA;43713401,3490427;NA;NA;NA;NA;NA;355982325,552408;NA;NA;NA
"154";"T40-C-1";164595832,265446;95903274,4019951;NA;63199446,8701838;NA;121048611,317247;43713401,3490427;NA;522089524,601585;NA;NA;NA;355982325,552408;946233166,836656;NA;NA
"155";"T41";111213400,179356;NA;NA;110876222,57927;NA;112082047,51597;NA;NA;NA;NA;NA;NA;NA;1660058187,43273;NA;NA
"156";"T41-C-1";658383329,061785;266632180,480272;NA;375870394,543725;71893171,4532164;544718750,927612;39342061,2141384;NA;2221439741,93224;NA;1452409405,17621;NA;320384092,997167;4465556524,19404;NA;NA
"157";"T42";21797826,4351537;NA;NA;21731739,6255369;NA;21968081,31313;NA;NA;NA;NA;NA;NA;NA;325371404,736815;NA;NA
"158";"T43";266912160,430453;25293171,2708559;NA;239492640,771223;41081812,2589808;224164095,031939;NA;NA;245689188,047805;NA;829948231,529263;NA;NA;2921702409,88161;NA;NA
"159";"T43-C-1";536715869,26557;66394574,5859966;NA;465236629,942616;78055443,2920635;444517400,448335;10928350,3372607;NA;542563623,605569;NA;1576901639,9056;NA;88995581,388102;5703959932,01886;NA;NA
"160";"T44";1251150752,01775;NA;NA;1247357504,01679;369736310,330827;857427663,497167;NA;NA;NA;NA;7469534083,76337;NA;NA;12699445133,8604;NA;NA
"161";"T44-C-1";1339676618,56052;267686062,616558;NA;1053989371,83854;82163624,5179616;1260474706,36459;NA;NA;2600210573,50594;NA;1659896463,05853;NA;NA;14452466579,7894;NA;NA
"162";"T45";229099604,369473;40047521,1788551;24317011,4657138;164096809,417319;120164300,857519;99753022,2892129;NA;NA;389007881,075691;80911994,4342599;2427598577,22309;NA;NA;514618038,104146;NA;NA
"163";"T45-C-1";1075433579,73437;310895230,20427;NA;745088215,732693;149948614,74528;901139662,028396;18578195,5733432;2688159727,27545;2436417781,47407;NA;2199362813,55255;NA;151292488,359773;9395929340,86925;NA;NA
"164";"T45-C-2";858567449,384625;441576615,103692;NA;391393065,704822;46217038,7913534;804749101,164662;9835515,30353461;NA;4197190295,81667;NA;933691760,470421;NA;80096023,2492918;5112979217,29281;NA;NA
"165";"T45-C-3";937528963,511968;155974556,170278;NA;770589746,925925;39027721,6460318;891052277,751958;10928350,3372607;NA;1412712831,27488;NA;788450819,9528;NA;88995581,388102;10906582291,433;NA;NA
"166";"T6";102316328,165007;NA;NA;102006124,772928;94488168,1956559;NA;NA;NA;NA;NA;1908880932,51731;NA;NA;NA;NA;NA
"167";"T7";229099604,369473;112765388,582566;120369206,755284;NA;41081812,2589808;186056198,87651;NA;2688159727,27545;685882316,633455;400514372,449586;NA;NA;NA;NA;NA;NA
"168";"V1";40481677,6652854;38361309,7607981;NA;NA;NA;40797865,2958129;NA;NA;372628601,872504;NA;NA;NA;NA;NA;NA;NA
"169";"V1-C-4";746464342,003835;627270647,517225;92404643,5697126;NA;NA;622279527,808663;126768863,912224;NA;5110335111,39434;226553584,415928;NA;204600101,588889;854357581,325779;NA;NA;NA
"170";"V12";20018412,032284;18969878,4531419;NA;NA;NA;20174768,5528745;NA;NA;184266891,035854;NA;NA;NA;NA;NA;NA;NA
"171";"V2";52270298,0842971;17915996,3168562;NA;33262866,7737809;NA;52678562,3325057;NA;NA;174029841,533862;NA;NA;NA;NA;498017456,229819;NA;NA
"172";"V3";77849380,1255489;62179046,040854;NA;12196384,4837197;11297498,3712197;66128408,0344221;NA;NA;603985920,61752;NA;228235763,670547;NA;NA;NA;NA;NA
"173";"V6";16682010,0269033;NA;18237758,5992854;NA;NA;16812307,1273954;NA;NA;NA;60683995,8256949;NA;NA;NA;NA;NA;NA
"174";"V6-C-3";176606879,484817;8009504,23577102;183836606,680797;NA;NA;177986291,45536;NA;NA;77801576,2151382;611694677,923005;NA;NA;NA;NA;NA;NA
