"";"M020_kode3";"Norge_area";"Mellom_nordboreal";"Alpin";"Nemoral_soerboreal";"O3_O3t";"OC_O2";"C1";"Mellom_nordboreal_O3_O3t";"Mellom_nordboreal_OC_O2";"Alpin_OC_O2";"Nemoral_soerboreal_O3_O3t";"Alpin_C1";"Mellom_nordboreal_C1";"Nemoral_soerboreal_OC_O2";"Alpin_O3_O3t";"Nemoral_soerboreal_C1"
"34";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-04";8832790669,04478;6390319721,58173;179945884,846282;1918823907,95684;114618256,202556;5363798465,92424;3327682677,69588;NA;32375692754,9995;157778389,146807;2315555565,96664;1115070553,65944;25817618160,6884;26295321688,9344;NA;2649527146,96552
"35";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-05";197737425,518894;155553003,315764;NA;33484619,2189395;NA;185832034,781478;13114020,4047128;NA;1388143912,4701;NA;NA;NA;106794697,665722;501337572,604685;NA;NA
"36";"NiN-3.0-T-C-PE-NA-MB-TB01-M020-06";13345608,0215227;NA;NA;13305146,7095124;NA;13449845,7019164;NA;NA;NA;NA;NA;NA;NA;199206982,491928;NA;NA
"37";"NiN-3.0-T-C-PE-NA-MB-TC01-M020-01";26246362,4423279;24871618,4163416;NA;NA;NA;26451363,2137688;NA;NA;241594368,247008;NA;NA;NA;NA;NA;NA;NA
"38";"NiN-3.0-T-C-PE-NA-MB-TC02-M020-04";22242680,0358711;21077642,7257132;NA;NA;NA;22416409,5031939;NA;NA;204740990,039837;NA;NA;NA;NA;NA;NA;NA
"39";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-04";19573558,4315666;18548325,5986276;NA;NA;NA;19726440,3628106;NA;NA;180172071,235057;NA;NA;NA;NA;NA;NA;NA
"40";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-09";3892469,00627745;3688587,47699981;NA;NA;NA;3922871,66305894;NA;NA;35829673,2569715;NA;NA;NA;NA;NA;NA;NA
"41";"NiN-3.0-T-C-PE-NA-MB-TC03-M020-11";3892469,00627745;3688587,47699981;NA;NA;NA;3922871,66305894;NA;NA;35829673,2569715;NA;NA;NA;NA;NA;NA;NA
"42";"NiN-3.0-T-C-PE-NA-MB-TC05-M020-01";52270298,0842971;43209167,5877121;7295103,43971415;NA;NA;52678562,3325057;NA;NA;419719029,581667;24273598,330278;NA;NA;NA;NA;NA;NA
"43";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-01";4027593287,49536;568464024,312485;3695699402,55919;47122394,5961897;79596011,2517753;3938563149,71117;32785051,011782;537631945,45509;5439968105,35848;12066405729,9812;881819995,999842;306900152,383333;NA;NA;480240753,488623;NA
"44";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-02";3257329277,85315;229113976,428503;3274285593,85837;20512101,1771649;37487153,68632;3059727815,13845;177585692,980486;NA;2225534561,73303;10164569300,8039;383851057,082284;1662375825,40972;NA;NA;320160502,325749;NA
"45";"NiN-3.0-T-C-PE-NA-MB-TC08-M020-03";867686948,199332;23817736,2800559;921128394,32124;NA;NA;755096754,115087;116386931,091826;NA;231357318,745016;2634089978,80733;NA;1089495540,96083;NA;NA;NA;NA
