"";"M020_kode3";"Norge_area";"Lavalpin sone (LA)";"Mellom_Nordbor";"Boreonem_sørbor";"Over_svakt_klart (OC-O1_O2)";"Sterkt oseanisk seksjon (O3)";"Svakt kontinental seksjon (C1)";"Lavalpin sone (LA)_Over_svakt_klart (OC-O1_O2)";"Mellom_Nordbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Over_svakt_klart (OC-O1_O2)";"Lavalpin sone (LA)_Svakt kontinental seksjon (C1)";"Boreonem_sørbor_Over_svakt_klart (OC-O1_O2)";"Boreonem_sørbor_Sterkt oseanisk seksjon (O3)";"Mellom_Nordbor_Svakt kontinental seksjon (C1)"
"108";"T1-C-12";21808150,5999173;11351943,076081;9526868,37341608;NA;22099975,4299754;NA;NA;12194339,6226415;NA;9403121,38728324;NA;NA;NA;NA
"109";"T1-C-9";129637339,677286;NA;127421864,49444;NA;108044324,324324;24200000;NA;NA;24602397,260274;103434335,260116;NA;NA;NA;NA
"110";"T12";24231278,4443525;NA;NA;27052023,1213873;24555528,2555283;NA;NA;NA;NA;NA;NA;27469318,1818182;NA;NA
"111";"T13";684533616,052958;22703886,152162;579948112,231704;78450867,0520231;578282690,41769;119726315,789474;NA;24388679,245283;46615068,4931507;530100968,208093;NA;NA;71649578,0590717;NA
"112";"T14";184157716,177079;118060207,991242;57161210,2404965;NA;186622014,742015;NA;NA;126821132,075472;NA;56418728,3236994;NA;NA;NA;NA
"113";"T16-C-7";70270707,4886223;65841269,8412698;NA;NA;71211031,9410319;NA;NA;70727169,8113208;NA;NA;NA;NA;NA;NA
"114";"T17-C-1";14054141,4977245;NA;13813959,1414533;NA;14242206,3882064;NA;NA;NA;NA;13634526,0115607;NA;NA;NA;NA
"115";"T18";18173458,8332644;17027914,6141215;NA;NA;NA;NA;15405978,2608696;NA;NA;NA;13559760,9561753;NA;NA;NA
"116";"T19";167195821,266032;156656814,449918;NA;NA;169433144,963145;NA;NA;168281886,792453;NA;NA;NA;NA;NA;NA
"117";"T2";626378547,786512;NA;158384186,708042;519398843,930636;272566363,636364;375736842,105263;NA;NA;103589041,09589;62295679,1907514;NA;232115738,636364;265597573,839662;NA
"118";"T2-C-5";14538767,0666115;NA;14290302,5601241;NA;14733316,953317;NA;NA;NA;NA;14104682,0809249;NA;NA;NA;NA
"119";"T22";21808150,5999173;20433497,5369458;NA;NA;22099975,4299754;NA;NA;21949811,3207547;NA;NA;NA;NA;NA;NA
"120";"T25-C-2";49674120,8109226;NA;48825200,4137574;NA;50338832,9238329;NA;NA;NA;NA;48190997,1098266;NA;NA;NA;NA
"121";"T26";41193173,3553993;38596606,4586754;NA;NA;41744398,034398;NA;NA;41460754,7169811;NA;NA;NA;NA;NA;NA
"122";"T27";386488891,187422;99897099,0695129;275088324,282389;NA;380610687,960688;NA;9243586,95652174;107310188,679245;NA;260936618,49711;NA;NA;NA;12189494,6808511
"123";"T29";24231278,4443525;NA;23817170,9335402;NA;24555528,2555283;NA;NA;NA;NA;23507803,4682081;NA;NA;NA;NA
"124";"T3";2114179044,26976;823015873,015873;1155132790,2767;67630057,8034682;1777820245,70025;329884210,526316;39028478,2608696;862139811,320755;296523630,136986;847456315,028902;16271713,1474104;27469318,1818182;37060126,5822785;27087765,9574468
"125";"T3-C-7";1027648518,82499;635935851,122058;342967261,442979;NA;900451221,130221;NA;117907086,956522;543135886,792453;NA;338512369,942196;103777370,517928;NA;NA;NA
"126";"T3-C-8";1520997347,95201;923594088,669951;526121305,921903;NA;1412925095,8231;15284210,5263158;95106239,1304348;879211886,792453;15538356,1643836;505182696,531792;83708924,3027888;NA;NA;NA
"127";"T3-C-9";708280268,928424;590982156,540777;76214946,9873287;NA;594980449,63145;NA;102706521,73913;512893924,528302;NA;75224971,0982659;90398406,374502;NA;NA;NA
"128";"T31";48462556,888705;NA;47634341,8670804;NA;49111056,5110565;NA;NA;NA;NA;47015606,9364162;NA;NA;NA;NA
"129";"T31-C-7";264120935,043442;10216748,7684729;248889436,255495;NA;267655257,985258;NA;NA;10974905,6603774;NA;245656546,242775;NA;NA;NA;NA
"130";"T31-C-8";36346917,6665288;NA;35725756,4003103;NA;36833292,3832924;NA;NA;NA;NA;35261705,2023121;NA;NA;NA;NA
"131";"T32";190215535,788167;NA;84550956,8140678;116323699,421965;192760896,805897;NA;NA;NA;NA;83452702,3121387;NA;118118068,181818;NA;NA
"132";"T32-C-10";118733264,377327;NA;82169239,7207137;39225433,5260116;73666584,7665848;48400000;NA;NA;49204794,5205479;36437095,3757225;NA;39830511,3636364;NA;NA
"133";"T32-C-9";317914373,189905;22703886,152162;275564667,70106;14878612,716763;187849791,154791;122783157,894737;13351847,826087;24388679,245283;124824794,520548;143397601,156069;NA;15108125;NA;17607047,8723404
"134";"T34";110252316,921804;NA;36916614,9469873;81156069,3641618;111727653,562654;NA;NA;NA;NA;36437095,3757225;NA;82407954,5454545;NA;NA
"135";"T35";301679416,632189;NA;181010499,094906;131202312,138728;305716326,781327;NA;NA;NA;NA;178659306,358382;NA;133226193,181818;NA;NA
"136";"T35-C-1";942839044,269756;NA;425851016,291699;568904046,242775;895294560,19656;62410526,3157895;NA;NA;NA;420319526,011561;NA;510379931,818182;60531540,0843882;NA
